,0.643710407,,,,,,1795913441,,,,8323,33677.31222,,98056.71734
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 0:33,0.251,0.251,99.499,0,0,0,1804103680,91787264,3340877824,3153154048,6908,4931,0,0
2019/10/17 0:33,0.5,0.5,98.75,0.25,0,0,1804103680,91787264,3340877824,3153154048,6370,3310,0,40960
2019/10/17 0:33,0.754,0.251,98.995,0,0,0,1804247040,91787264,3340877824,3153010688,3872,2333,0,0
2019/10/17 0:33,0.754,0.251,98.995,0,0,0,1804255232,91787264,3340886016,3152994304,6750,5127,0,65536
2019/10/17 0:33,0.501,0,99.499,0,0,0,1804251136,91787264,3340890112,3152994304,2936,1652,0,8192
2019/10/17 0:33,0,0.251,99.749,0,0,0,1804251136,91787264,3340890112,3152994304,3113,1761,0,0
2019/10/17 0:33,0.501,0.251,99.248,0,0,0,1804251136,91787264,3340890112,3152994304,6147,9186,0,0
2019/10/17 0:33,0.251,0.251,99.499,0,0,0,1804251136,91787264,3340890112,3152994304,2635,1745,0,0
2019/10/17 0:33,0.251,0.501,98.496,0.752,0,0,1804075008,91787264,3340890112,3153170432,3311,1900,0,81920
2019/10/17 0:33,0.5,0.25,99.25,0,0,0,1803948032,91787264,3340890112,3153297408,4248,2032,0,0
2019/10/17 0:33,0.501,0.251,99.248,0,0,0,1803943936,91787264,3340894208,3153297408,3764,2681,0,16384
2019/10/17 0:33,0.252,0.252,99.496,0,0,0,1803939840,91787264,3340898304,3153297408,3826,2491,0,0
2019/10/17 0:33,0.501,0.251,99.248,0,0,0,1803923456,91787264,3340898304,3153313792,5376,2662,0,0
2019/10/17 0:33,0.252,0.252,99.496,0,0,0,1803907072,91787264,3340898304,3153330176,2653,1788,0,0
2019/10/17 0:33,0.251,0.501,98.997,0.251,0,0,1803898880,91787264,3340898304,3153338368,3113,1745,0,32768
2019/10/17 0:33,0.5,0.25,99,0,0,0.25,1803890688,91787264,3340898304,3153346560,5172,2655,0,8192
