,0.651239819,,,,,,1790375482,,,,6453.343891,33722.50679,,95759.18373
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:38,0.251,0.251,99.497,0,0,0,1796366336,91791360,3348889600,3152875520,3903,2187,0,0
2019/10/17 1:38,0.504,0,98.992,0.504,0,0,1796202496,91791360,3348893696,3153035264,6172,7157,0,212992
2019/10/17 1:38,0.252,0.252,99.496,0,0,0,1796202496,91791360,3348893696,3153035264,3328,2020,0,0
2019/10/17 1:38,0.5,0.25,99.25,0,0,0,1796202496,91791360,3348893696,3153035264,3113,1834,0,0
2019/10/17 1:38,0.251,0.503,99.246,0,0,0,1796186112,91791360,3348893696,3153051648,4828,2858,0,8192
2019/10/17 1:38,0.501,0.251,99.248,0,0,0,1796182016,91791360,3348897792,3153051648,3112,1761,0,0
2019/10/17 1:38,0.251,0.251,99.246,0.251,0,0,1796182016,91791360,3348897792,3153051648,3759,2766,0,139264
2019/10/17 1:38,1.253,0.501,97.995,0.251,0,0,1798275072,91791360,3348901888,3150954496,26242,13780,0,229376
2019/10/17 1:38,3.5,0.75,95.5,0,0,0.25,1798840320,91791360,3348910080,3150381056,31645,667444,0,180224
2019/10/17 1:38,0.501,0,99.499,0,0,0,1798676480,91791360,3348930560,3150524416,3720,6485,0,0
2019/10/17 1:38,0.251,0.251,99.497,0,0,0,1798660096,91791360,3348930560,3150540800,4993,2601,0,0
2019/10/17 1:38,0.251,0.251,98.997,0.501,0,0,1798533120,91791360,3348930560,3150667776,3536,3311,0,90112
2019/10/17 1:38,0.503,0.251,99.246,0,0,0,1798533120,91791360,3348930560,3150667776,7854,4295,0,40960
2019/10/17 1:38,0.251,0.251,99.497,0,0,0,1798541312,91791360,3348938752,3150651392,4732,2786,0,0
2019/10/17 1:38,0.5,0.25,99.25,0,0,0,1798676480,91791360,3348946944,3150508032,5240,4170,0,0
2019/10/17 1:38,0.251,0.251,99.497,0,0,0,1798676480,91791360,3348946944,3150508032,3480,1919,0,0
2019/10/17 1:38,0.5,0.25,99.25,0,0,0,1798676480,91791360,3348946944,3150508032,5604,9077,0,0
2019/10/17 1:38,0.25,0.5,99,0.25,0,0,1798676480,91791360,3348946944,3150508032,3112,1745,0,49152
2019/10/17 1:38,0.251,0.251,99.497,0,0,0,1798676480,91791360,3348946944,3150508032,3245,1959,0,0
2019/10/17 1:38,0.501,0,99.499,0,0,0,1798627328,91791360,3348946944,3150557184,3789,2651,0,0
2019/10/17 1:38,0.501,0.251,99.248,0,0,0,1798500352,91791360,3348946944,3150684160,4429,2789,0,16384
2019/10/17 1:38,0,0.251,99.749,0,0,0,1798500352,91791360,3348946944,3150684160,3781,2011,0,32768
2019/10/17 1:38,0.5,0.25,99.25,0,0,0,1798496256,91791360,3348951040,3150684160,4217,1852,0,0
2019/10/17 1:38,0.251,0.251,98.995,0.503,0,0,1798352896,91791360,3348951040,3150827520,3691,2144,0,32768
2019/10/17 1:38,0.251,0.251,99.499,0,0,0,1798336512,91791360,3348951040,3150843904,3197,1893,0,0
2019/10/17 1:38,0.5,0.25,99.25,0,0,0,1798336512,91791360,3348951040,3150843904,3657,1853,0,0
2019/10/17 1:38,0.25,0.25,99.5,0,0,0,1798336512,91791360,3348951040,3150843904,4084,2422,0,131072
2019/10/17 1:38,0.252,0,99.748,0,0,0,1798320128,91791360,3348951040,3150860288,3113,1761,0,0
2019/10/17 1:38,0.501,0.251,98.747,0.501,0,0,1798320128,91791360,3348951040,3150860288,6468,3311,0,57344
2019/10/17 1:38,0.504,0.252,99.244,0,0,0,1798311936,91791360,3348959232,3150860288,22750,12534,0,204800
2019/10/17 1:38,0.5,0.25,99.25,0,0,0,1798299648,91791360,3348971520,3150860288,3717,1852,0,8192
2019/10/17 1:38,4.261,0.501,94.987,0,0,0.251,1798582272,91791360,3348983808,3150565376,29671,662171,0,352256
2019/10/17 1:38,0.501,0.251,99.248,0,0,0,1798467584,91791360,3348987904,3150675968,6315,12373,0,0
2019/10/17 1:38,0.5,0.25,99.25,0,0,0,1798467584,91791360,3348987904,3150675968,2247,1245,0,0
