,0.595046358,,,,,,1782872023,,,,,25544.74834,,114109.5564
system,total cpu usage,,,,,,memory usage,,,,net/total,,dsk/total,
date/time,usr,sys,idl,wai,hiq,siq,used,buff,cach,free,recv,send,read,writ
2019/10/17 1:02,0.251,0.251,98.995,0.503,0,0,1799770112,91787264,3345149952,3153215488,4266,2027,0,32768
2019/10/17 1:02,0.5,0.25,99.25,0,0,0,1799610368,91787264,3345149952,3153375232,2701,1742,0,0
2019/10/17 1:02,0.252,0,99.748,0,0,0,1799610368,91787264,3345149952,3153375232,2937,1745,0,32768
2019/10/17 1:02,0.501,0.251,99.248,0,0,0,1799610368,91787264,3345149952,3153375232,4242,2020,0,0
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799610368,91787264,3345149952,3153375232,2569,1636,0,0
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799593984,91787264,3345149952,3153391616,3179,1877,0,0
2019/10/17 1:02,0.503,0.251,98.995,0.251,0,0,1799569408,91787264,3345149952,3153416192,4200,2506,0,32768
2019/10/17 1:02,1.003,0.251,98.747,0,0,0,1799438336,91787264,3345154048,3153543168,4822,3538,0,163840
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799434240,91787264,3345158144,3153543168,3808,1861,0,0
2019/10/17 1:02,0.504,0.252,99.244,0,0,0,1799405568,91787264,3345162240,3153567744,5394,2383,0,0
2019/10/17 1:02,0.501,0.251,99.248,0,0,0,1799401472,91787264,3345166336,3153567744,4396,6578,0,0
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799401472,91787264,3345166336,3153567744,3131,1745,0,0
2019/10/17 1:02,0.251,0.251,98.747,0.501,0,0.251,1799524352,91787264,3345170432,3153440768,4200,1962,0,90112
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799397376,91787264,3345170432,3153567744,2569,1652,0,0
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799397376,91787264,3345170432,3153567744,4086,2422,0,8192
2019/10/17 1:02,0.5,0.5,99,0,0,0,1799397376,91787264,3345170432,3153567744,4200,1978,0,0
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799397376,91787264,3345170432,3153567744,2569,1636,0,0
2019/10/17 1:02,0.251,0.251,98.995,0.503,0,0,1799397376,91787264,3345170432,3153567744,3245,1811,0,253952
2019/10/17 1:02,0.504,0.252,99.244,0,0,0,1799397376,91787264,3345170432,3153567744,24289,13837,0,188416
2019/10/17 1:02,0.501,0.251,99.248,0,0,0,1799385088,91787264,3345182720,3153567744,6490,3115,0,49152
2019/10/17 1:02,5.013,0.501,94.236,0.251,0,0,1799819264,91787264,3345203200,3153113088,31236,678069,0,172032
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799819264,91787264,3345203200,3153113088,3702,1686,0,0
2019/10/17 1:02,0.501,0,98.997,0.501,0,0,1799692288,91787264,3345203200,3153240064,3826,2179,0,90112
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799692288,91787264,3345203200,3153240064,3036,3219,0,0
2019/10/17 1:02,0.75,0.5,98.75,0,0,0,1799704576,91787264,3345207296,3153223680,8812,4627,0,49152
2019/10/17 1:02,0.501,0.251,99.248,0,0,0,1799712768,91787264,3345215488,3153207296,4567,3613,0,0
2019/10/17 1:02,0.501,0.251,99.248,0,0,0,1799712768,91787264,3345215488,3153207296,4362,2842,0,0
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799712768,91787264,3345215488,3153207296,4390,1961,0,0
2019/10/17 1:02,0.503,0.503,98.492,0.503,0,0,1799712768,91787264,3345215488,3153207296,4521,8866,0,40960
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799704576,91787264,3345215488,3153215488,3161,2343,0,0
2019/10/17 1:02,0.252,0,99.748,0,0,0,1799671808,91787264,3345215488,3153248256,4464,2225,0,0
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799655424,91787264,3345215488,3153264640,2569,1637,0,0
2019/10/17 1:02,0.499,0.499,99.002,0,0,0,1799655424,91787264,3345215488,3153264640,3113,1745,0,24576
2019/10/17 1:02,0.252,0,97.481,2.267,0,0,1799655424,91787264,3345215488,3153264640,4200,1977,0,49152
2019/10/17 1:02,0.251,0.251,99.497,0,0,0,1799507968,91787264,3345219584,3153408000,2569,1653,0,0
2019/10/17 1:02,0.5,0.25,99.25,0,0,0,1799507968,91787264,3345219584,3153408000,3233,2027,0,0
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799364608,91787264,3345219584,3153551360,6713,3687,0,16384
2019/10/17 1:02,0.251,0.501,99.248,0,0,0,1799360512,91787264,3345223680,3153551360,2761,1803,0,0
2019/10/17 1:02,0.251,0.251,99.499,0,0,0,1799360512,91787264,3345223680,3153551360,3673,2021,0,0
2019/10/17 1:03,0.501,0.251,98.747,0.501,0,0,1799327744,91787264,3345223680,3153584128,4780,2360,0,73728
2019/10/17 1:03,0.251,0,99.749,0,0,0,1799327744,91787264,3345223680,3153584128,2587,1653,0,0
2019/10/17 1:03,0.501,0.251,99.248,0,0,0,1799319552,91787264,3345223680,3153592320,3113,1745,0,0
2019/10/17 1:03,0.25,0.5,99.25,0,0,0,1799319552,91787264,3345223680,3153592320,4242,2003,0,122880
2019/10/17 1:03,0.252,0,99.748,0,0,0,1799319552,91787264,3345223680,3153592320,3543,2330,0,8192
2019/10/17 1:03,0.251,0.251,99.246,0.251,0,0,1799192576,91787264,3345223680,3153719296,3113,1761,0,90112
2019/10/17 1:03,0.251,0.251,99.499,0,0,0,1799176192,91787264,3345223680,3153735680,4200,1977,0,0
2019/10/17 1:03,0.251,0.251,99.499,0,0,0,1799172096,91787264,3345227776,3153735680,2701,1703,0,0
2019/10/17 1:03,0.251,0.251,99.497,0,0,0,1799172096,91787264,3345227776,3153735680,5963,3059,0,147456
2019/10/17 1:03,0.75,0.5,98.5,0,0,0.25,1799159808,91787264,3345240064,3153735680,25062,14266,0,212992
2019/10/17 1:03,3.509,0.752,95.489,0.251,0,0,1799610368,91787264,3345244160,3153281024,27228,666893,0,180224
2019/10/17 1:03,0.506,6.076,92.658,0.759,0,0,1800052736,91787264,3345272832,3152809984,8669,15439,0,204800
2019/10/17 1:03,0.501,0.251,99.248,0,0,0,1799725056,91787264,3345272832,3153137664,3121,1454,0,0
2019/10/17 1:03,0.5,0.5,99,0,0,0,1799725056,91787264,3345272832,3153137664,4696,4600,0,16384
2019/10/17 1:03,0.503,0,99.246,0.251,0,0,1799593984,91787264,3345276928,3153264640,7496,3939,0,40960
2019/10/17 1:03,0.5,0.5,99,0,0,0,1799610368,91787264,3345276928,3153248256,4827,2405,0,0
2019/10/17 1:03,0.756,0.252,98.741,0.252,0,0,1799618560,91787264,3345285120,3153231872,6984,9063,0,73728
2019/10/17 1:03,0.503,0.251,99.246,0,0,0,1799593984,91787264,3345285120,3153256448,3479,1935,0,0
2019/10/17 1:03,0.501,0.251,99.248,0,0,0,1799593984,91787264,3345285120,3153256448,4200,1961,0,0
2019/10/17 1:03,0.501,0.251,99.248,0,0,0,1799593984,91787264,3345285120,3153256448,4521,8864,0,0
2019/10/17 1:03,0.251,0.251,99.497,0,0,0,1799577600,91787264,3345285120,3153272832,3179,1811,0,0
2019/10/17 1:03,0.251,0.501,99.248,0,0,0,1799536640,91787264,3345285120,3153313792,4398,2159,0,0
2019/10/17 1:03,0.251,0.251,99.246,0.251,0,0,1799536640,91787264,3345285120,3153313792,2569,1637,0,32768
2019/10/17 1:03,0.501,0.251,99.248,0,0,0,1799409664,91787264,3345285120,3153440768,3113,1761,0,32768
2019/10/17 1:03,0.251,0.251,99.497,0,0,0,1799409664,91787264,3345285120,3153440768,4200,1977,0,0
